| chlSlave110      |  1   | 10.74.212.20 | 10982 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| chlSlave111      |  1   | 10.74.212.20 | 10937 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| comptionSlave114 |  1   | 10.74.212.20 | 10919 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| comptionSlave115 |  1   | 10.74.212.20 | 10865 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| grSlave106       |  1   | 10.74.212.20 | 10820 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| grSlave107       |  1   | 10.74.212.20 | 10973 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| itemSlave122     |  1   | 10.74.212.20 | 10856 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| itemSlave123     |  1   | 10.74.212.20 | 10964 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| kickbackSlave108 |  1   | 10.74.212.20 | 10910 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| kickbackSlave109 |  1   | 10.74.212.20 | 10874 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| nonZdtSlave126   |  1   | 10.74.212.20 | 10847 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| nonZdtSlave127   |  1   | 10.74.212.20 | 10838 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| pblcevntSlave120 |  1   | 10.74.212.20 | 10946 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| pblcevntSlave121 |  1   | 10.74.212.20 | 11000 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| projnovaSlave124 |  1   | 10.74.212.20 | 10901 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| projnovaSlave125 |  1   | 10.74.212.20 | 11018 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| searchSlave104   |  1   | 10.74.212.20 | 10802 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| searchSlave105   |  1   | 10.74.212.20 | 10793 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| socialSlave116   |  1   | 10.74.212.20 | 11009 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| socialSlave117   |  1   | 10.74.212.20 | 10829 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| splSlave112      |  1   | 10.74.212.20 | 10991 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| splSlave113      |  1   | 10.74.212.20 | 10955 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| sysgnrlSlave118  |  1   | 10.74.212.20 | 10892 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| sysgnrlSlave119  |  1   | 10.74.212.20 | 10883 | nfs20prodapp-02.bio-dub.ea.com | 159.153.79.200 |
| chlMaster11      |  1   | 10.74.212.9  | 10325 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| chlSlave21       |  1   | 10.74.212.9  | 10529 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| comptionMaster13 |  1   | 10.74.212.9  | 10394 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| comptionSlave23  |  1   | 10.74.212.9  | 10547 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| configMaster0    |  1   | 10.74.212.9  | ----- | nfs20prodapp-01.bio-dub.ea.com |     -----      |
| coreNSMaster4    |  1   | 10.74.212.9  | 10358 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| gdprAuxSlave30   |  1   | 10.74.212.9  | 10448 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| grSlave9         |  1   | 10.74.212.9  | 10493 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| itemMaster17     |  1   | 10.74.212.9  | 10367 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| itemSlave27      |  1   | 10.74.212.9  | 10457 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| kickbackMaster10 |  1   | 10.74.212.9  | 10475 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| kickbackSlave20  |  1   | 10.74.212.9  | 10574 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| nonZdtMaster19   |  1   | 10.74.212.9  | 10421 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| nonZdtSlave29    |  1   | 10.74.212.9  | 10520 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| pblcevntMaster16 |  1   | 10.74.212.9  | 10511 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| pblcevntSlave26  |  1   | 10.74.212.9  | 10538 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| projnovaMaster18 |  1   | 10.74.212.9  | 10565 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| projnovaSlave28  |  1   | 10.74.212.9  | 10403 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| searchSlave7     |  1   | 10.74.212.9  | 10385 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| searchSlave8     |  1   | 10.74.212.9  | 10376 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| socialMaster14   |  1   | 10.74.212.9  | 10316 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| socialSlave24    |  1   | 10.74.212.9  | 10556 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| splMaster12      |  1   | 10.74.212.9  | 10466 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| splSlave22       |  1   | 10.74.212.9  | 10412 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| sysgnrlMaster15  |  1   | 10.74.212.9  | 10430 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
| sysgnrlSlave25   |  1   | 10.74.212.9  | 10502 | nfs20prodapp-01.bio-dub.ea.com | 159.153.79.211 |
